,zip_code,311byzip,FWbyzip
0,83.0,1,
1,10000.0,47,1.0
2,10001.0,980,1.0
3,10002.0,2439,79.0
4,10003.0,1593,18.0
5,10004.0,149,4.0
6,10005.0,112,1.0
7,10006.0,58,3.0
8,10007.0,230,5.0
9,10009.0,1871,60.0
10,10010.0,722,6.0
11,10011.0,2241,44.0
12,10012.0,882,6.0
13,10013.0,776,3.0
14,10014.0,1399,5.0
15,10016.0,1239,7.0
16,10017.0,357,2.0
17,10018.0,334,1.0
18,10019.0,1370,9.0
19,10020.0,14,
20,10021.0,453,1.0
21,10022.0,645,3.0
22,10023.0,1928,7.0
23,10024.0,1183,18.0
24,10025.0,2138,91.0
25,10026.0,1936,233.0
26,10027.0,2089,170.0
27,10028.0,817,4.0
28,10029.0,1866,101.0
29,10030.0,1329,156.0
30,10031.0,3435,459.0
31,10032.0,3479,475.0
32,10033.0,2564,264.0
33,10034.0,2913,258.0
34,10035.0,1035,76.0
35,10036.0,896,5.0
36,10037.0,927,209.0
37,10038.0,411,23.0
38,10039.0,1169,58.0
39,10040.0,3051,394.0
40,10041.0,1,
41,10044.0,38,
42,10048.0,2,1.0
43,10065.0,401,
44,10069.0,33,
45,10075.0,380,2.0
46,10103.0,7,
47,10105.0,5,
48,10107.0,1,
49,10110.0,2,
50,10111.0,1,
51,10112.0,1,
52,10115.0,1,
53,10118.0,6,
54,10120.0,1,
55,10121.0,28,1.0
56,10122.0,1,
57,10123.0,3,
58,10128.0,673,41.0
59,10151.0,3,
60,10153.0,15,
61,10155.0,1,
62,10158.0,5,
63,10162.0,13,
64,10165.0,7,
65,10167.0,1,
66,10168.0,1,
67,10169.0,27,
68,10170.0,1,
69,10172.0,3,
70,10173.0,7,
71,10177.0,1,
72,10271.0,2,
73,10278.0,3,
74,10279.0,4,
75,10280.0,59,1.0
76,10281.0,9,1.0
77,10282.0,28,
78,10301.0,1113,62.0
79,10302.0,529,12.0
80,10303.0,676,14.0
81,10304.0,1140,43.0
82,10305.0,713,26.0
83,10306.0,1198,31.0
84,10307.0,282,23.0
85,10308.0,560,64.0
86,10309.0,667,42.0
87,10310.0,738,81.0
88,10312.0,1296,65.0
89,10314.0,1664,75.0
90,10451.0,2004,22.0
91,10452.0,4157,92.0
92,10453.0,4402,82.0
93,10454.0,1054,18.0
94,10455.0,1341,23.0
95,10456.0,3592,99.0
96,10457.0,4017,82.0
97,10458.0,3473,71.0
98,10459.0,1687,38.0
99,10460.0,2806,67.0
100,10461.0,1847,31.0
101,10462.0,2192,35.0
102,10463.0,2271,31.0
103,10464.0,215,2.0
104,10465.0,1258,52.0
105,10466.0,4395,54.0
106,10467.0,3791,115.0
107,10468.0,4560,151.0
108,10469.0,1833,90.0
109,10470.0,446,6.0
110,10471.0,613,8.0
111,10472.0,2955,30.0
